,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
13,happiy,"Jul 8th, 2020 12:31 pm","July 10, 2020","Jul 10th, 2020 3:42 pm",,,23,55%,,Sports & Fitness,"55% off except Arc'teryx, Patagonia, Canada Goose; Free ship 50$",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=42558&amp;murl=https%3A%2F%2Fwww.thelasthunt.com%2F&amp;u1=rfdcb,9756,14
14,dealicious,"Jul 10th, 2020 11:43 am",,"Jul 10th, 2020 3:40 pm",,3,14,$3 off,Amazon.ca,Groceries,"MELITTA Dark Roast, Ground Coffee, 100% Arabica Coffee $3",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB00LSOE2RE%2Fref%3Das_li_ss_tl%3Fie%3DUTF8%26linkCode%3Dll1%26tag%3Dmutepi-20%26linkId%3D2d6ec6c4f1cb61890d9143cfef756e62%26language%3Den_CA&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1981,6
15,yellman,"Jul 10th, 2020 8:58 am",,"Jul 10th, 2020 3:35 pm",Apparel,,34,,,Men's Apparel,Harry Rosen up to 70% off,,6607,0
16,SecretSnowNinja,"Jul 10th, 2020 7:52 am","July 16, 2020","Jul 10th, 2020 3:33 pm",Automotive,,14,15% off,Canadian Tire,Auto Parts & Accessories,15% off Chemical Guys Products - Canadian Tire,https://www.canadiantire.ca/en/chemical-guys.html,2234,5
17,yamanote,"Jun 9th, 2020 4:06 pm",,"Jul 10th, 2020 3:30 pm",Computers & Electronics,,165,,Fido,Telecom,5GB Data Bonus for 24 Months (YMMV),,43134,78
18,shanty9,"Jul 10th, 2020 7:58 am",,"Jul 10th, 2020 3:09 pm",,$22.94,5,67%,Amazon.ca,Computers & Electronics,"AXLOIE Wireless Earbuds, Sport Headphones True Wireless Bluetooth Earphones 5.0 $22.94 - (regular $69.9)9",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07Y7SPHLB%2Fref%3Dcm_sw_r_cp_apa_i_PnfcFb0TGPSC3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2478,3
19,Cantthinkofaname,"Jun 27th, 2020 9:18 pm",,"Jul 10th, 2020 3:00 pm",Beauty & Wellness,$12.99,89,,Costco,Other,"Cloth Masks at Costco, 3 Pack, $12.99",,36744,27
20,chemicalxv,"Jul 10th, 2020 2:10 pm","July 23, 2020","Jul 10th, 2020 2:59 pm",Entertainment,24.99,3,,Best Buy,"Books, Music, Movies, Magazines",Best Buy 4k Disney/Pixar/Marvel Steelbooks $24.99 (all-time low for all),,1351,8
21,frugalcanuck,"Jul 10th, 2020 1:55 am",,"Jul 10th, 2020 2:50 pm",,69.99,6,,Amazon.ca,Computers & Electronics,Amazon Echo (3rd Gen) $69.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fall-new-Echo%2Fdp%2FB07P64NDGG%2Fref%3Dsr_1_2%3Fcrid%3D1VRDVQ8JXQ2BV%26dchild%3D1%26keywords%3Decho%2Bdot%2B3rd%2Bgeneration%26qid%3D1594359407%26sprefix%3Decho%252Caps%252C210%26sr%3D8-2&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1770,6
22,elfion,"May 25th, 2020 2:37 pm","June 20, 2020","Jul 10th, 2020 2:50 pm",Computers & Electronics,142 CAD,219,40%,,Cell Phones,UMIDIGI A7 Pro - $142,http://www.awin1.com/cread.php?awinmid=6378&amp;awinaffid=139736&amp;clickref=&amp;p=https://a.aliexpress.com/_dWeZMZS,35977,-12
23,Capindy,"Jul 10th, 2020 2:18 pm","July 10, 2020","Jul 10th, 2020 2:43 pm",Computers & Electronics,400$,1,30-40%,,Home Theatre & Audio,(COLD deal)ELAC Discovery Z3 Wireless Zone Speaker 400$,https://www.elac.com/series/discovery/ds-z31w-g/,746,1
